hive	time	value
R26	1519603200000	0
R26	1519516800000	0
R26	1519430400000	0
R26	1519344000000	0
R26	1519257600000	0
R26	1519171200000	0
R26	1519084800000	0
R26	1518998400000	0
R26	1518912000000	0
R26	1518825600000	0
R26	1518739200000	0
R26	1518652800000	0
R26	1518566400000	0
R26	1518480000000	0
R26	1518393600000	0
R26	1518307200000	0
R26	1518220800000	0
R26	1518134400000	0
R26	1518048000000	0
R26	1517961600000	0
R26	1517875200000	0
R26	1517788800000	0
R26	1517702400000	0
R26	1517616000000	0
R26	1517529600000	0
R26	1517443200000	0
R26	1517356800000	0
R26	1517270400000	0
R26	1517184000000	0
R26	1517097600000	0
R26	1517011200000	0
R26	1516924800000	0
R26	1516838400000	0
R26	1516752000000	0
R26	1516665600000	0
R26	1516579200000	0
R26	1516492800000	0
R26	1516406400000	0
R26	1516320000000	0
R26	1516233600000	0
R26	1516147200000	0
R26	1516060800000	0
R26	1515974400000	0
R26	1515888000000	0
R26	1515801600000	0
R26	1515715200000	0
R26	1515628800000	0
R26	1515542400000	0
R26	1515456000000	0
R26	1515369600000	0
R26	1515283200000	0
R26	1515196800000	0
R26	1515110400000	0
R26	1515024000000	0
R26	1514937600000	0
R26	1514851200000	0
R26	1514764800000	0
R11	1574121600000	0
R11	1574035200000	0
R11	1573948800000	0
R11	1573862400000	0
R11	1573776000000	0
R11	1573689600000	0
R11	1573603200000	0
R11	1573516800000	0
R11	1573430400000	0
R11	1573344000000	0
R11	1573257600000	0
R11	1573171200000	0
R11	1573084800000	0
R11	1572998400000	0
R11	1572912000000	0
R11	1572825600000	0
R11	1572739200000	0
R11	1572652800000	0
R11	1572566400000	0
R11	1572480000000	0
R11	1572393600000	0
R11	1572307200000	0
R11	1572220800000	0
R11	1572134400000	0
R11	1572048000000	0
R11	1571961600000	0
R11	1571875200000	2.623
R11	1571788800000	3.71
R11	1571702400000	4.312
R11	1571616000000	6.598
R11	1571529600000	8.84
R11	1571443200000	8.865
R11	1571356800000	9.421
R11	1571270400000	7.353
R11	1571184000000	7.637
R11	1571097600000	9.998
R11	1571011200000	9.25
R11	1570924800000	8.189
R11	1570838400000	10.402
R11	1570752000000	10.708
R11	1570665600000	14.558
R11	1570579200000	17.029
R11	1570492800000	18.192
R11	1570406400000	20.454
R11	1570320000000	22.671
R11	1570233600000	21.552
R11	1570147200000	23.794
R11	1570060800000	24.246
R11	1569974400000	24.782
R11	1569888000000	25.107
